,Comp,Date,Unnamed: 2,Fixture,Formation
0,EPL,"Aug 5, 2022",W,Crystal Palace CRY 0 - 2 Arsenal ARS,4231
1,EPL,"Aug 13, 2022",W,Arsenal ARS 4 - 2 Leicester City LEI,4231
2,EPL,"Aug 20, 2022",W,Bournemouth BOU 0 - 3 Arsenal ARS,4231
3,EPL,"Aug 27, 2022",W,Arsenal ARS 2 - 1 Fulham FUL,4231
4,EPL,"Aug 31, 2022",W,Arsenal ARS 2 - 1 Aston Villa AST,4231
5,EPL,"Sep 4, 2022",L,Man Utd MUN 3 - 1 Arsenal ARS,4231
6,UEL,"Sep 8, 2022",W,FC Zürich FCZ 1 - 2 Arsenal ARS,3412
7,EPL,"Sep 18, 2022",W,Brentford BRE 0 - 3 Arsenal ARS,4231
8,EPL,"Oct 1, 2022",W,Arsenal ARS 3 - 1 Tottenham TOT,4231
9,UEL,"Oct 6, 2022",W,Arsenal ARS 3 - 0 Bodø/Glimt BOG,3412
10,EPL,"Oct 9, 2022",W,Arsenal ARS 3 - 2 Liverpool LIV,4231
11,UEL,"Oct 13, 2022",W,Bodø/Glimt BOG 0 - 1 Arsenal ARS,3412
12,EPL,"Oct 16, 2022",W,Leeds Utd LEE 0 - 1 Arsenal ARS,4231
13,UEL,"Oct 20, 2022",W,Arsenal ARS  1 - 0 PSV PSV,442
14,EPL,"Oct 23, 2022",D,Southampton SOU 1 - 1 Arsenal ARS,433
15,UEL,"Oct 27, 2022",L,PSV PSV 2 - 0 Arsenal ARS,4312
16,EPL,"Oct 30, 2022",W,Arsenal ARS 5 - 0 Notts Forest NOT,433
17,UEL,"Nov 3, 2022",W,Arsenal  ARS 1 - 0 FC Zürich FCZ,442
18,EPL,"Nov 6, 2022",W,Chelsea CHE 0 - 1 Arsenal ARS,433
19,FLC,"Nov 9, 2022",L,Arsenal ARS 1 - 3 Brighton BHA,4231
20,EPL,"Nov 12, 2022",W,Wolves WOL 0 - 2 Arsenal ARS,433
21,EPL,"Dec 26, 2022",W,Arsenal ARS 3 - 1 West Ham WHU,433
22,EPL,"Dec 31, 2022",W,Brighton BHA 2 - 4 Arsenal ARS,433
23,EPL,"Jan 3, 2023",D,Arsenal ARS 0 - 0 Newcastle NEW,433
24,FAC,"Jan 9, 2023",W,Oxford United OXF 0 - 3 Arsenal ARS,433
25,EPL,"Jan 15, 2023",W,Tottenham TOT 0 - 2 Arsenal ARS,433
26,EPL,"Jan 22, 2023",W,Arsenal ARS 3 - 2 Man Utd MUN,433
27,FAC,"Jan 27, 2023",L,Man City MCI 1 - 0 Arsenal ARS,433
28,EPL,"Feb 4, 2023",L,Everton EVE 1 - 0 Arsenal ARS,433
29,EPL,"Feb 11, 2023",D,Arsenal ARS 1 - 1 Brentford BRE,433
30,EPL,"Feb 15, 2023",L,Arsenal ARS 1 - 3 Man City MCI,433
31,EPL,"Feb 18, 2023",W,Aston Villa AST 2 - 4 Arsenal ARS,433
32,EPL,"Feb 25, 2023",W,Leicester City LEI 0 - 1 Arsenal ARS,433
33,EPL,"Mar 1, 2023",W,Arsenal ARS 4 - 0 Everton EVE,433
34,EPL,"Mar 4, 2023",W,Arsenal ARS 3 - 2 Bournemouth BOU,433
35,UEL,"Mar 9, 2023",D,Sporting SPO 2 - 2 Arsenal ARS,3412
36,EPL,"Mar 12, 2023",W,Fulham FUL 0 - 3 Arsenal ARS,433
37,UEL,"Mar 16, 2023",D,Arsenal ARS 1 - 1 Sporting SPO,442
38,EPL,"Mar 19, 2023",W,Arsenal ARS 4 - 1 Crystal Palace CRY,433
39,EPL,"Apr 1, 2023",W,Arsenal ARS 4 - 1 Leeds Utd LEE,433
40,EPL,"Apr 9, 2023",D,Liverpool LIV 2 - 2 Arsenal ARS,433
41,EPL,"Apr 16, 2023",D,West Ham WHU 2 - 2 Arsenal ARS,433
42,EPL,"Apr 21, 2023",D,Arsenal ARS 3 - 3 Southampton SOU,433
43,EPL,"Apr 26, 2023",L,Man City MCI  4 - 1 Arsenal ARS,433
44,EPL,"May 2, 2023",W,Arsenal ARS 3 - 1 Chelsea CHE,433
45,EPL,"May 7, 2023",W,Newcastle NEW 0 - 2 Arsenal ARS,433
46,EPL,"May 14, 2023",L,Arsenal ARS 0 - 3 Brighton BHA,433
47,EPL,"May 20, 2023",L,Notts Forest NOT 1 - 0 Arsenal ARS,433
48,EPL,"May 28, 2023",W,Arsenal ARS 5 - 0 Wolves WOL,433
